product_id,カテゴリー名,サブカテゴリー名
"0172270012M140",,
"1252220028",スカート ,
"1252220028S090",スカート ,
"1252220028M090",スカート ,
"1252220028S110",スカート ,
"1252220028M110",スカート ,
"0172281001",,
"0172281001-010",,
"0172281001-031",,
"0172296900",,
"0172296900FR031",,
"0172296900FR050",,
"0172275912",,
"0172275912M031",,
"0172275912M043",,
"0172275912M081",,
"0172275912M110",,
"1252220017",スカート ,
"1252220017S060",スカート ,
"1252220017M060",スカート ,
"1252220017S110",スカート ,
"1252220017M110",スカート ,
"1252240066",,
"1252240066FR110",,
"1312220024",スカート ,
"1312220024S010",スカート ,
"1312220024M010",スカート ,
"1312220024S030",スカート ,
"1312220024M030",スカート ,
"1312220024S090",スカート ,
"1312220024M090",スカート ,
"1312220024S110",スカート ,
"1312220024M110",スカート ,
"1312270067",ニット ,
"1312270067FR010",ニット ,
"1312270067FR030",ニット ,
"1312270067FR130",ニット ,
"1312270038",ニット ,
"1312270038FR010",ニット ,
"1312270038FR030",ニット ,
"1312270038FR040",ニット ,
"1312191017",バッグ ,
"1312191017-030",バッグ ,
"1662220104",スカート ,
"1662220104S020",スカート ,
"1662220104M020",スカート ,
"1662220104S050",スカート ,
"1662220104M050",スカート ,
"1662220104S120",スカート ,
"1662220104M120",スカート ,
"1662220104S130",スカート ,
"1662220104M130",スカート ,
"0172293001",,
"0172293001FR040",,
"0172293001FR080",,
"0172293001FR110",,
"1212281900",バッグ ,
"1212281900-031",バッグ ,
"1212281900-050",バッグ ,
"0172255141",コート ,
"0172255141S010",コート ,
"0172255141M010",コート ,
"0172255141S031",コート ,
"0172255141M031",コート ,
"0172255141S040",コート ,
"0172255141M040",コート ,
"0172255141S090",コート ,
"0172255141M090",コート ,
"0172270102",ニット ,
"0172270102M031",ニット ,
"0172270102M040",ニット ,
"0172270102M060",ニット ,
"0172270102M110",ニット ,
"0172270106",ニット ,
"0172270106M032",ニット ,
"0172270106M092",ニット ,
"1312292018",,
"1312292018-010",,
"1312292018-050",,
"1662210008",ブラウス ,
"1662210008M030",ブラウス ,
"1662210008M110",ブラウス ,
"1662210008M120",ブラウス ,
"0172210140",ブラウス ,
"0172210140S021",ブラウス ,
"0172210140M021",ブラウス ,
"0172210140S031",ブラウス ,
"0172210140M031",ブラウス ,
"0172210140S090",ブラウス ,
"0172210140M090",ブラウス ,
"0172240141",,
"0172240141S040",,
"0172240141M040",,
"0172240141S051",,
"0172240141M051",,
"0172240141S091",,
"0172240141M091",,
"0172247100",ニット ワンピース ,
"0172247100S010",ニット ワンピース ,
"0172247100M010",ニット ワンピース ,
"0172247100S043",ニット ワンピース ,
"0172247100M043",ニット ワンピース ,
"0172247100S110",ニット ワンピース ,
"0172247100M110",ニット ワンピース ,
"1662220803",スカート ,
"1662220803M050",スカート ,
"1662220803M060",スカート ,
"1662220803M080",スカート ,
"1662260953",,
"1662260953M010",,
"1662260953M030",,
"1662260953M040",,
"1662275050",ニット ,
"1662275050M030",ニット ,
"1662275050M110",ニット ,
"1662275050M150",ニット ,
"0172240051",,
"0172240051S040",,
"0172240051M040",,
"0172240051S051",,
"0172240051M051",,
"0172240051S150",,
"0172240051M150",,
"1212270001",ニット ,
"1212270001S020",ニット ,
"1212270001M020",ニット ,
"1212270001S031",ニット ,
"1212270001M031",ニット ,
"1212270001S090",ニット ,
"1212270001M090",ニット ,
"1212270001S110",ニット ,
"1212270001M110",ニット ,
"1662252153",コート ,
"1662252153S021",コート ,
"1662252153M021",コート ,
"1662252153S041",コート ,
"1662252153M041",コート ,
"1662275103",ニット ,
"1662275103M030",ニット ,
"1662275103M060",ニット ,
"1662275103M110",ニット ,
"1212220006",スカート ,
"1212220006S010",スカート ,
"1212220006M010",スカート ,
"1212220006PS010",スカート ,
"1212220006PM010",スカート ,
"1212220006S022",スカート ,
"1212220006M022",スカート ,
"1212220006PS022",スカート ,
"1212220006PM022",スカート ,
"1212220006S080",スカート ,
"1212220006M080",スカート ,
"1212220006PS080",スカート ,
"1212220006PM080",スカート ,
"1212220016",スカート ,ベルト 
"1212220016XS040",スカート ,ベルト 
"1212220016S040",スカート ,ベルト 
"1212220016M040",スカート ,ベルト 
"1212220016XS120",スカート ,ベルト 
"1212220016S120",スカート ,ベルト 
"1212220016M120",スカート ,ベルト 
"1212220016XS130",スカート ,ベルト 
"1212220016S130",スカート ,ベルト 
"1212220016M130",スカート ,ベルト 
"1212247002",,
"1212247002S010",,
"1212247002M010",,
"1212247002S111",,
"1212247002M111",,
"1212240018",ワンピース ,
"1212240018XS022",ワンピース ,
"1212240018S022",ワンピース ,
"1212240018M022",ワンピース ,
"1212240018XS040",ワンピース ,
"1212240018S040",ワンピース ,
"1212240018M040",ワンピース ,
"1212240018XS110",ワンピース ,
"1212240018S110",ワンピース ,
"1212240018M110",ワンピース ,
"1212270010",ニット ,
"1212270010S010",ニット ,
"1212270010M010",ニット ,
"1212270010S032",ニット ,
"1212270010M032",ニット ,
"1212270010S080",ニット ,
"1212270010M080",ニット ,
"1212270010S140",ニット ,
"1212270010M140",ニット ,
"1212270019",ニット ,
"1212270019FR022",ニット ,
"1212270019FR031",ニット ,
"1212270019FR110",ニット ,
"1212270023",ニット ,
"1212270023FR010",ニット ,
"1212270023FR031",ニット ,
"1212270023FR080",ニット ,
"1212240001",ニット ,
"1212240001S031",ニット ,
"1212240001M031",ニット ,
"1212240001PS031",ニット ,
"1212240001PM031",ニット ,
"1212240001S110",ニット ,
"1212240001M110",ニット ,
"1212240001PS110",ニット ,
"1212240001PM110",ニット ,
"1212240001S120",ニット ,
"1212240001M120",ニット ,
"1212240001PS120",ニット ,
"1212240001PM120",ニット ,
"1212240001S130",ニット ,
"1212240001M130",ニット ,
"1212240001PS130",ニット ,
"1212240001PM130",ニット ,
"1212220017",スカート ,ベルト 
"1212220017S040",スカート ,ベルト 
"1212220017M040",スカート ,ベルト 
"1212220017PS040",スカート ,ベルト 
